2025-07-07 20:03:13.918 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-07-07 20:03:13.936 [main] INFO  com.homi.HomiApplication - Starting HomiApplication using Java 21.0.6 with PID 60490 (/Users/tigerkim/Projects/homi/homi-start/target/classes started by tigerkim in /Users/tigerkim/Projects/homi)
2025-07-07 20:03:13.937 [main] INFO  com.homi.HomiApplication - The following 1 profile is active: "prod"
2025-07-07 20:03:14.362 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-07 20:03:14.363 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-07 20:03:14.380 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-07-07 20:03:14.772 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2025-07-07 20:03:14.779 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2025-07-07 20:03:14.780 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-07-07 20:03:14.780 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.39]
2025-07-07 20:03:14.802 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-07 20:03:14.802 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 849 ms
2025-07-07 20:03:14.853 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-07-07 20:03:14.861 [main] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
